TransactionID,Date,Description,Debit,Credit,Balance
T001,2025-09-26,Loan Repayment,515.16,70.39,4629.95
T002,2025-09-25,Payment to Vendor,454.53,430.06,2292.16
T003,2025-09-24,Refund Issued,545.44,852.58,1203.19
T004,2025-09-23,Bank Charge,859.94,520.31,2959.99
T005,2025-09-22,Loan Repayment,935.04,125.06,2216.59
T006,2025-09-21,Invoice Settlement,873.1,995.13,1492.11
T007,2025-09-20,Utility Bill,497.36,137.66,1995.89
T008,2025-09-19,Salary Payment,556.71,700.97,4447.71
T009,2025-09-18,Salary Payment,103.06,486.29,4165.5
T010,2025-09-17,Customer Payment,976.65,995.19,3203.68
